decimal_year,deep,surface,Stratification
1988.802568,25.850926800333507,24.187487613008177,1.6634391873253307
1988.894749,25.937234330933478,24.696374478673118,1.2408598522603604
1988.895519,25.908335692106107,24.692091292313894,1.2162443997922132
1988.896176,25.87664797958042,24.69181215433859,1.18483582524183
1988.959732,25.968032960387514,25.50789699242491,0.4601359679626036
1988.962148,25.740299028114467,25.510607992612602,0.22969103550186531
1988.964888,25.98867603792316,25.55867344535509,0.4300025925680693
1988.965535,26.057983816181412,25.56665360356501,0.4913302126164041
1988.966041,26.03003187619878,25.5589115872991,0.47112028889968016
1988.966381,25.9974618005829,25.500689808133302,0.4967719924495988
1988.966809,25.91358508154544,25.53891420170703,0.3746708798384084
1989.069444,25.989630635467527,25.799677049328558,0.1899535861389694
1989.070025,25.99964312925322,25.808225018008898,0.19141811124432095
1989.072137,26.025510787504945,25.81699064488699,0.2085201426179566
1989.073139,25.819869846512262,25.798869058799845,0.02100078771241698
1989.075571,26.026179122218576,25.82550298712381,0.200676135094767
1989.130795,26.16464767195484,26.111179542734654,0.05346812922018529
1989.132572,26.166879187787455,26.13858377715769,0.02829541062976304
1989.135055,26.160866689752602,25.953168583606157,0.20769810614644513
1989.135902,26.157471886258662,26.096797516431707,0.0606743698269554
1989.138413,26.17356373604545,26.037196074451003,0.1363676615944449
1989.22637,26.110211957071908,25.73526758318703,0.3749443738848761
1989.228396,26.12053232745452,25.77428137846,0.3462509489945198
1989.228482,26.114419011690686,25.779314892463297,0.33510411922738825
1989.228767,26.05052380045426,25.764256128456008,0.2862676719982531
1989.228786,26.087659689529055,25.74265062738327,0.34500906214578464
1989.228796,26.089966589518205,25.74514522569043,0.3448213638277764
1989.230898,26.117791685711527,25.753212282257845,0.364579403453682
1989.231564,26.133725940691765,25.74892670766617,0.38479923302559627
1989.231916,26.056825582919277,25.75107133749616,0.3057542454231168
1989.233942,26.137967469387885,25.819985920344568,0.3179815490433171
1989.234018,25.975683133958775,25.824110243889663,0.15157289006911157
1989.288727,26.181748516104452,25.76023233342026,0.42151618268419355
1989.28907,26.162597247505424,25.74798788342514,0.4146093640802846
1989.289079,26.15195453230838,25.716883688128252,0.4350708441801281
1989.289089,26.14349156873207,25.711499571144078,0.43199199758799267
1989.289298,26.19410784101338,25.718704374378376,0.47540346663500443
1989.289431,26.18157054053141,25.703800617216228,0.47776992331518287
1989.289688,26.183836550870918,25.686303391589906,0.49753315928101216
1989.291457,26.188400925376396,25.706823831794697,0.48157709358169853
1989.292256,26.17118134276662,25.66671829939537,0.5044630433712491
1989.294235,26.19182410381827,25.73129698467009,0.46052711914817834
1989.368683,26.215507551841384,25.327872861731368,0.8876346901100156
1989.36895,26.226605940483175,25.302118112277867,0.924487828205308
1989.370928,26.26379635834599,25.287124747649994,0.9766716106959947
1989.373697,26.25890824601799,25.29590184838691,0.9630063976310801
1989.374486,26.25264112482447,NA,NA
1989.374962,26.263339518081498,25.29208386268465,0.971255655396849
1989.468137,26.258088155242337,24.364221480287792,1.8938666749545447
1989.469475,26.251662576760438,24.373276802624268,1.87838577413617
1989.470105,26.232746746287205,24.343988151205945,1.88875859508126
1989.470291,26.25068181445798,24.35283928117477,1.8978425332832103
1989.4727,26.269347466370725,24.456480728367005,1.81286673800372
1989.473381,26.252366090752194,24.322054970085706,1.930311120666488
1989.544032,26.02844823317653,23.912124061536492,2.116324171640038
1989.544235,26.048683765624123,23.806683362586018,2.242000403038105
1989.546109,26.058174517427364,23.858787154518097,2.199387362909267
1989.546604,26.063455910042986,23.825984329223633,2.237471580819353
1989.547251,26.035186134227825,23.758100398474912,2.2770857357529124
1989.548354,25.81723757711302,23.807605187690967,2.009632389422052
1989.549087,26.079134369499904,23.808847298016,2.270287071483903
1989.552036,26.056922282937318,23.757042944638474,2.299879338298844
1989.618404,26.015082026012664,24.07810314684824,1.9369788791644247
1989.620086,26.0966697513214,24.13916409505399,1.9575056562674114
1989.622894,26.126239828420168,24.099671325866243,2.026568502553925
1989.799372,25.84041064712056,24.332854916695897,1.507555730424663
1989.800771,25.80805802449379,24.307090145635772,1.5009678788580167
1989.801322,25.85109910702736,24.301404067631477,1.549695039395882
1989.801884,25.814045567917056,24.30084897260569,1.513196595311367
1989.884161,26.144161067795757,25.039880814624514,1.1042802531712432
1989.892085,26.02217424870581,25.021577859761464,1.000596388944345
1989.906231,25.84323714487087,25.17884520255273,0.6643919423181401
1989.906849,25.82260424285589,25.163590185305754,0.6590140575501344
1989.90703,25.856929911222228,25.162543138231438,0.6943867729907893
1989.966391,25.98138452375437,25.557593053683895,0.42379147007047635
1989.966952,25.928724162828647,25.530835348356124,0.3978888144725232
1990.040436,25.89599448144455,25.577156921827015,0.3188375596175348
1990.042209,25.940828711673166,25.60261951786697,0.33820919380619685
1990.042846,25.924828885872113,25.587371567850862,0.3374573180212508
1990.044987,25.932006946856617,25.63039400870385,0.30161293815276835
1990.046471,25.887555700012726,25.644739899907336,0.24281580010539017
1990.047374,25.950538766137413,25.65675504105036,0.29378372508705297
1990.048016,25.91088781306251,25.655064896744534,0.2558229163179746
